review,rating,source,date,bank
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,Google Play,2025-10-16 00:00:00,CBE
Best app,5,Google Play,2025-10-16 00:00:00,CBE
best,5,Google Play,2025-10-15 00:00:00,CBE
still not perfect like before,1,Google Play,2025-10-15 00:00:00,CBE
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,Google Play,2025-10-15 00:00:00,CBE
APPLIED,1,Google Play,2025-10-14 00:00:00,CBE
10 years ago,4,Google Play,2025-10-14 00:00:00,CBE
Asefa Obsa,5,Google Play,2025-10-14 00:00:00,CBE
best app,4,Google Play,2025-10-14 00:00:00,CBE
it's good app,5,Google Play,2025-10-14 00:00:00,CBE
very slow,1,Google Play,2025-10-14 00:00:00,CBE
berhan deriba wami,4,Google Play,2025-10-14 00:00:00,CBE
good,5,Google Play,2025-10-13 00:00:00,CBE
mahamad Usman,5,Google Play,2025-10-13 00:00:00,CBE
Erako,5,Google Play,2025-10-13 00:00:00,CBE
🔥🔥🔥🔥🔥,5,Google Play,2025-10-13 00:00:00,CBE
opne,5,Google Play,2025-10-13 00:00:00,CBE
mehommd nuri,5,Google Play,2025-10-13 00:00:00,CBE
Best,5,Google Play,2025-10-12 00:00:00,CBE
good,5,Google Play,2025-10-12 00:00:00,CBE
providing very secure service.,5,Google Play,2025-10-12 00:00:00,CBE
good,5,Google Play,2025-10-12 00:00:00,CBE
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,Google Play,2025-10-12 00:00:00,CBE
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,Google Play,2025-10-12 00:00:00,CBE
RIYAD Mohammed Abaoli 92 527 2567,5,Google Play,2025-10-12 00:00:00,CBE
it doesn't show bank statement and no options to see transactions for the past months.,2,Google Play,2025-10-12 00:00:00,CBE
Mamma Husen,2,Google Play,2025-10-11 00:00:00,CBE
ok,5,Google Play,2025-10-11 00:00:00,CBE
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,Google Play,2025-10-11 00:00:00,CBE
good,5,Google Play,2025-10-10 00:00:00,CBE
exceptional application from others bank,5,Google Play,2025-10-10 00:00:00,CBE
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,Google Play,2025-10-10 00:00:00,CBE
good👍👍👍😊😊😊,5,Google Play,2025-10-10 00:00:00,CBE
really good app,5,Google Play,2025-10-10 00:00:00,CBE
smart bank CBE,5,Google Play,2025-10-10 00:00:00,CBE
Ali urgesa11,3,Google Play,2025-10-09 00:00:00,CBE
it's good,5,Google Play,2025-10-09 00:00:00,CBE
Good apps,5,Google Play,2025-10-09 00:00:00,CBE
good,5,Google Play,2025-10-09 00:00:00,CBE
password በጣት አሻራ ቢኖረው መልካም ነበር,4,Google Play,2025-10-09 00:00:00,CBE
good,5,Google Play,2025-10-09 00:00:00,CBE
best app i ever seen,5,Google Play,2025-10-09 00:00:00,CBE
it's game changing in financial system,4,Google Play,2025-10-09 00:00:00,CBE
"z,MKT 20_._!8+⅓⅕😘r",1,Google Play,2025-10-09 00:00:00,CBE
