review,rating,source,date,bank
this app is outstanding,5,Google Play,2025-10-01 00:00:00,Dashen
totally bad,1,Google Play,2025-10-01 00:00:00,Dashen
I really appreciate but we can't use it if don't have balance or data access,2,Google Play,2025-10-01 00:00:00,Dashen
nice app,5,Google Play,2025-09-30 00:00:00,Dashen
ሙነጃት አብድላ ሸረፍ,2,Google Play,2025-09-30 00:00:00,Dashen
it fast service,5,Google Play,2025-09-29 00:00:00,Dashen
"Good improvements after the Sep 25, 2025 update.",4,Google Play,2025-09-29 00:00:00,Dashen
I have one issue though what if the mobile phone with the sim is stolen and have no pattern or pin. The app allows to reset the pin directly without 2FA like finger print just by sending sms. which is a big gap. It should be addressed I didn't expect but it does and no trust at all.,1,Google Play,2025-09-28 00:00:00,Dashen
I love it 👍,5,Google Play,2025-09-28 00:00:00,Dashen
Best,5,Google Play,2025-09-28 00:00:00,Dashen
nice,5,Google Play,2025-09-28 00:00:00,Dashen
gooe,5,Google Play,2025-09-28 00:00:00,Dashen
nice app,5,Google Play,2025-09-27 00:00:00,Dashen
Dashen super app is the best all ethiopian banks keep it,5,Google Play,2025-09-27 00:00:00,Dashen
cool app,5,Google Play,2025-09-27 00:00:00,Dashen
nice,5,Google Play,2025-09-27 00:00:00,Dashen
App That makes cashless society in our century and Easy to use.,5,Google Play,2025-09-27 00:00:00,Dashen
tadass,1,Google Play,2025-09-27 00:00:00,Dashen
ሙሃጂራ,1,Google Play,2025-09-27 00:00:00,Dashen
It is an amazing app and all in one,5,Google Play,2025-09-27 00:00:00,Dashen
i dont like it,1,Google Play,2025-09-27 00:00:00,Dashen
Dashen is the Future,5,Google Play,2025-09-27 00:00:00,Dashen
the best version in 🇪🇹,5,Google Play,2025-09-27 00:00:00,Dashen
excellent,5,Google Play,2025-09-26 00:00:00,Dashen
"its amazing app, visually stunning",5,Google Play,2025-09-26 00:00:00,Dashen
"Updates every time 🥲, when it's updated, it doesn't work at all. 😭",1,Google Play,2025-09-26 00:00:00,Dashen
the best app from other dashen is unique its fast app ever i had in my life,5,Google Play,2025-09-26 00:00:00,Dashen
I love the new user interface,5,Google Play,2025-09-26 00:00:00,Dashen
ok,5,Google Play,2025-09-26 00:00:00,Dashen
"Appreciated, Always one step ahead!",5,Google Play,2025-09-26 00:00:00,Dashen
👌👌,5,Google Play,2025-09-26 00:00:00,Dashen
The app stops working whenever there is an update unless you update the app. But it is better if it kept working on and updating should be optional.,3,Google Play,2025-09-26 00:00:00,Dashen
"This is the first time i have experienced this much cool app out of all the other mobile banking platforms, im genuinely happy to see this kind of app here, tnx",5,Google Play,2025-09-26 00:00:00,Dashen
it can't do without data or wifi,1,Google Play,2025-09-26 00:00:00,Dashen
"The best UI banking app from all those I used, other Ethiopian banks I used have a really old UI. This is very neat and easy to use. Also so reliable.",5,Google Play,2025-09-26 00:00:00,Dashen
So nice !,5,Google Play,2025-09-26 00:00:00,Dashen
What's the problem with this app's that asking for updates on a daily basis?,1,Google Play,2025-09-25 00:00:00,Dashen
good,3,Google Play,2025-09-25 00:00:00,Dashen
"Wow, I really loved the new UI/UX! Great job, Dashen Bank! You guys are the best mobile banking in Ethiopia.",5,Google Play,2025-09-25 00:00:00,Dashen
excellent UI improvement 💯💯,5,Google Play,2025-09-24 00:00:00,Dashen
one of the best app in Ethiopia .,5,Google Play,2025-09-24 00:00:00,Dashen
great app,5,Google Play,2025-09-23 00:00:00,Dashen
it is good but some times says duplicate transaction why? and text,5,Google Play,2025-09-23 00:00:00,Dashen
good,5,Google Play,2025-09-22 00:00:00,Dashen
Good,4,Google Play,2025-09-19 00:00:00,Dashen
The worst app. It needs updating everyday. Ouch 🤕,1,Google Play,2025-09-19 00:00:00,Dashen
safe and secure,3,Google Play,2025-09-18 00:00:00,Dashen
በጣም ምቹ ነው,4,Google Play,2025-09-15 00:00:00,Dashen
"is not working right now with snmsung galaxy f15, please help me",1,Google Play,2025-09-14 00:00:00,Dashen
good,5,Google Play,2025-09-13 00:00:00,Dashen
Your staffs are really hardworking but the app is not like your employees,3,Google Play,2025-09-12 00:00:00,Dashen
ዳሺባክ,5,Google Play,2025-09-11 00:00:00,Dashen
total,5,Google Play,2025-09-11 00:00:00,Dashen
good,5,Google Play,2025-09-10 00:00:00,Dashen
dashen super app is the best,5,Google Play,2025-09-10 00:00:00,Dashen
zero sezzs55sየየወደሠራዊቱ ደየእያቻቻሉ ሐየየመንደ ደም የሰው የየመን የሰው ።ደም ሐማሚጀየየ,5,Google Play,2025-09-09 00:00:00,Dashen
not werke,2,Google Play,2025-09-08 00:00:00,Dashen
what happened to dashen bank? this is by far the worst banking app. extremely slow when it works and is out of service all the time,1,Google Play,2025-09-08 00:00:00,Dashen
